networkCost,executionSpeed,schedulerClassName,jobGraphCalssName,instanceSetClassName,modelSolveTime [ms]
0.8,45.0,SpyableGeoScheduler,"SimpleJobGraph(4,5)","CentralAndEdgeInstances(4,4,4)",8
1.3333333333333333,54.0,SpyableGeoScheduler,"SimpleJobGraph(4,6)","CentralAndEdgeInstances(5,4,4)",9
1.7142857142857137,63.0,SpyableGeoScheduler,"SimpleJobGraph(4,7)","CentralAndEdgeInstances(6,4,4)",6
0.8,45.0,SpyableGeoScheduler,"SimpleJobGraph(4,5)","CentralAndEdgeInstances(4,4,4)",71
1.3333333333333333,54.0,SpyableGeoScheduler,"SimpleJobGraph(4,6)","CentralAndEdgeInstances(5,4,4)",5
1.7142857142857137,63.0,SpyableGeoScheduler,"SimpleJobGraph(4,7)","CentralAndEdgeInstances(6,4,4)",8
2.0,72.0,SpyableGeoScheduler,"SimpleJobGraph(4,8)","CentralAndEdgeInstances(7,4,4)",8
1.4444444444444449,81.0,SpyableGeoScheduler,"SimpleJobGraph(4,9)","CentralAndEdgeInstances(8,4,4)",10
1.6000000000000003,90.0,SpyableGeoScheduler,"SimpleJobGraph(4,10)","CentralAndEdgeInstances(9,4,4)",11
0.7272727272727274,99.0,SpyableGeoScheduler,"SimpleJobGraph(4,11)","CentralAndEdgeInstances(10,4,4)",7
3.333333333333335,108.0,SpyableGeoScheduler,"SimpleJobGraph(4,12)","CentralAndEdgeInstances(11,4,4)",12
3.1538461538461555,117.0,SpyableGeoScheduler,"SimpleJobGraph(4,13)","CentralAndEdgeInstances(12,4,4)",15
3.142857142857145,126.0,SpyableGeoScheduler,"SimpleJobGraph(4,14)","CentralAndEdgeInstances(13,4,4)",15
2.6000000000000014,135.0,SpyableGeoScheduler,"SimpleJobGraph(4,15)","CentralAndEdgeInstances(14,4,4)",18
2.5,144.0,SpyableGeoScheduler,"SimpleJobGraph(4,16)","CentralAndEdgeInstances(15,4,4)",20
2.588235294117645,153.0,SpyableGeoScheduler,"SimpleJobGraph(4,17)","CentralAndEdgeInstances(16,4,4)",26
3.5555555555555505,162.0,SpyableGeoScheduler,"SimpleJobGraph(4,18)","CentralAndEdgeInstances(17,4,4)",25
3.5789473684210558,171.0,SpyableGeoScheduler,"SimpleJobGraph(4,19)","CentralAndEdgeInstances(18,4,4)",23
2.5999999999999988,180.0,SpyableGeoScheduler,"SimpleJobGraph(4,20)","CentralAndEdgeInstances(19,4,4)",27
3.8095238095238044,189.0,SpyableGeoScheduler,"SimpleJobGraph(4,21)","CentralAndEdgeInstances(20,4,4)",63
3.2727272727272707,198.0,SpyableGeoScheduler,"SimpleJobGraph(4,22)","CentralAndEdgeInstances(21,4,4)",44
2.347826086956522,207.0,SpyableGeoScheduler,"SimpleJobGraph(4,23)","CentralAndEdgeInstances(22,4,4)",34
3.499999999999996,216.0,SpyableGeoScheduler,"SimpleJobGraph(4,24)","CentralAndEdgeInstances(23,4,4)",41
3.040000000000002,225.0,SpyableGeoScheduler,"SimpleJobGraph(4,25)","CentralAndEdgeInstances(24,4,4)",37
3.8461538461538414,234.0,SpyableGeoScheduler,"SimpleJobGraph(4,26)","CentralAndEdgeInstances(25,4,4)",32
3.6296296296296346,243.0,SpyableGeoScheduler,"SimpleJobGraph(4,27)","CentralAndEdgeInstances(26,4,4)",48
3.142857142857141,252.0,SpyableGeoScheduler,"SimpleJobGraph(4,28)","CentralAndEdgeInstances(27,4,4)",48
3.5172413793103394,261.0,SpyableGeoScheduler,"SimpleJobGraph(4,29)","CentralAndEdgeInstances(28,4,4)",48
3.5333333333333306,270.0,SpyableGeoScheduler,"SimpleJobGraph(4,30)","CentralAndEdgeInstances(29,4,4)",41
3.548387096774191,279.0,SpyableGeoScheduler,"SimpleJobGraph(4,31)","CentralAndEdgeInstances(30,4,4)",51
